Author,Title,Description,Defect ID,Defect Description,Source,Risk Assessment,Status
software_developer,,Environment rebuild blocked by QtWebEngineProcess.exe after idle period,VC-1589,"A previous fix (VC-1163) addressed an issue where the VectorCAST GUI, when launched onWindows with '%VECTORCAST_DIR%vcastqt -e <environment>', caused the Chromium-based HTML renderer to lock the environment directory, preventing environment update,rebuild, and rename operations. However, directory locks could still occur in other scenarios,such as after an idle period. VectorCAST version 2025 SP2 includes a fix to ensure that the environment directory is fullyunlocked after the Chromium-based HTML renderer starts, allowing subsequent rebuild andrename operations to succeed without error.",KNOWN_PROBLEM_BY_VENDOR,No Risk. This is a usability bug that would be an obvious blocker when a developer tries to rebuild an environment.,No Risk
software_developer,,Other FlexNet-enabled tools may fail to get license when called byVectorCAST,VC-1489,"In previous versions of VectorCAST since 2024, other FlexNet-enabled third-party tools calledfrom VectorCAST could fail to get a license if they relied on license server settings cached byFlexNet (e.g. via the command 'lmutil lmpath'). This problem is fixed in VectorCAST version2025 SP2. A workaround for older versions is to explicitly set the LM_LICENSE_FILEenvironment variable as needed for the other tool.",KNOWN_PROBLEM_BY_VENDOR,No Risk. This is a licensing issue that would be an obvious blocker when calling another tool.,No Risk
software_developer,,Parse error for GHS wchar_t and wide character literals,VC-1466,"Previously, VectorCAST/C++ gave errors when parsing some Green Hills code containingwchar_t types or wide character literals. This problem has been resolved in VectorCASTversion 2025 SP2. The corrected behavior requires the target architecture to be specified in the ""Parser flags""option (C_EDG_FLAGS) via the '--ghs_version' flag, such as '--ghs_version=arm', '--ghs_version=arm64', or '--ghs_version=ppc'. The compiler templates for associated GHSconfigurations now add one of these parser arguments when the template is selected.",KNOWN_PROBLEM_BY_VENDOR,No Risk. This is a parse error easily detected.,No Risk
software_developer,,'break' immediately following a 'return' is not instrumented when VCAST_INSTRUMENT_UNREACHABLE_CODE option is True,VC-1088,"Previously, when the coverage option ""Instrument unreachable code"" was set to True,VectorCAST/C++ and VectorCAST Cover would incorrectly not instrument a 'break' immediately following a 'return' when instrumenting for Statement coverage. This problem has been fixed in VectorCAST version 2025 SP2 so that such a 'break' is now instrumented.",KNOWN_PROBLEM_BY_VENDOR,No Risk. This bug leads to missing coverage for 'break' statements immediately following by a 'return'.,No Risk
software_developer,,Improve vcshell behavior when calling vcdb getcommand with --abspathoption,VC-397,"Previously, when executing the command 'vcdb getcommand --file <filename> --abspath' on a vcshell database created with repeated empty include options (such as ""-I -I""), VectorCAST did not correctly return the full path as requested by the use of the '-- abspath' option. In a similar vein, when executing the command 'vcdb getcommand --file <filename> --abspath' on Windows but using a vcshell database created on Linux, VectorCAST gave acryptic error message but did not suggest using the option '--vcpathstyle=unix'. Theseproblems have been fixed in VectorCAST version 2025 SP2.",KNOWN_PROBLEM_BY_VENDOR,No Risk. This is a usability enhancement for a command-line utility. The old behavior would either fail with a cryptic message or return an incorrect path which a developer would notice.,No Risk
software_developer,,Implicit default instrumentation errantly displays entire switch statement,VC-1001,"Previously, when the coverage option ""Instrument implicit default case for switch-case blocks""(VCAST_REPORT_ON_IMPLICIT_DEFAULT_CASE) was set to True, VectorCAST/C++ and VectorCAST Cover would represent the implicit default with the entire switch block when instrumenting for Branch coverage. This problem has been fixed in VectorCAST version 2025SP3 so that the implicit default is now shown at the end of the switch which is typically the closing brace of the switch body. Also, probe points are no longer allowed for the implicit default.",KNOWN_PROBLEM_BY_VENDOR,Minor Risk when instrumenting a switch statement in specific setup conditions.,Not Evaluated
software_developer,,Symbolic constant origin mischaracterized when parallel codegen enabled,VC-1953,"When using parallel processing, where VCAST_NUM_JOBS is set to a number greater than 1,VectorCAST/C++ versions starting with 2024 SP2 classified symbolic constants from vcdb as if they were from configuration options, causing a spurious error when importing test scripts using those symbolic constants. This problem has been resolved in VectorCAST version 2025 SP4. To get the new behavior, you must rebuild any affected environments.",KNOWN_PROBLEM_BY_VENDOR,"No Risk. This bug causes an """"spurious error when importing test scripts"""" making it a easily detectable.",No Risk
software_developer,,Console Report prints output for Skipped Tests,101022,"Previously, skipped tests would errantly show as passing in the Console Report, sometimes with missing or incorrect parent testcase information. This has been fixed in VectorCAST version 2024 SP6 and skipped tests are not displayed in the Console Report Output.",KNOWN_PROBLEM_BY_VENDOR,Potential Risk. This is a critical reporting bug. A report that mislabels skipped tests as passing could mislead an auditor and compromise the integrity of the test documentation. This is not easily detected just by looking at a pass/fail summary.,Risk exists
software_developer,,"Parser given ""--tasking --tasking_version=tricore flags"" uses GNU predefinedmacros",82224,"Previously, VectorCAST/C++ predefined the GNU macros __GNUC__, __GNUC_MINOR__, and __GNUC_PATCHLEVEL__ when parsing or preprocessing in some Tasking modes. In VectorCAST version 2024 SP4, these macros are no longer predefined in any Tasking mode.",KNOWN_PROBLEM_BY_VENDOR,Potential Risk. Predefining incorrect macros can cause the test harness to compile and link correctly but to behave differently than the production code. This is a silent failure that compromises test integrity.,Risk exists
software_developer,,Parse error for #pragma statements with nested parentheses,93469,"Previously, VectorCAST/C++ gave the parse error ""expected a string literal"" for #pragma statements with nested parentheses. This problem has been resolved in VectorCAST version 2024 SP4.",KNOWN_PROBLEM_BY_VENDOR,No Risk. This is a parse error easily detected.,No Risk
software_developer,,"IAR parse error ""invalid type conversion"" for __section_end() builtin onreinterpret_cast",96243,"Previously, VectorCAST incorrectly gave an error when parsing some IAR code with the section operators __section_end, __section_begin, __segment_begin, __segment_end, __sfe,and __sfb. This problem has been resolved in VectorCAST version 2024 SP4.",KNOWN_PROBLEM_BY_VENDOR,No Risk. This is a parse error easily detected.,No Risk
software_developer,,Parse error related to template-dependent function when using --auto_builtins flag,98038,"Previously, VectorCAST/C++ incorrectly gave the parse error 'operator -> or ->* applied to ""int"" instead of to a pointer type' for some template functions when the parser flag --auto_builtins was used. This problem has been resolved in VectorCAST version 2024 SP4. Starting with that version, VectorCAST no longer attempts automatic builtin function detection in template-dependent functions.",KNOWN_PROBLEM_BY_VENDOR,No Risk. This is a parse error easily detected.,No Risk
software_developer,,"Parse error for Keil ARM code using ""__asm__ volatile""",99814,"Previously, VectorCAST/C++ gave the error message 'expected a ""(""' for __asm__volatile statements when using the --arm parser flag. This problem has been resolved in VectorCAST version 2024 SP4.",KNOWN_PROBLEM_BY_VENDOR,No Risk. This is a parse error easily detected.,No Risk
software_developer,,"Incorrect message ""intex command failed"" when link command fails toproduce harness",100856,"Previously, VectorCAST/C++ would erroneously report ""Intex command failed"" when a link command returned exit status 0 but failed to produce the expected output file. In VectorCAST version 2024 SP4, the error message instead indicates that the link failed.",KNOWN_PROBLEM_BY_VENDOR,No Risk. This is a usability enhancement that provides a more helpful error message for an easily detectable failure.,No Risk
software_developer,,"Reports should indicate ""Unknown Requirement"" instead of insertingTraceback",100859,"Previously, generating a Test Case Data or Full Report for an environment with requirements that did not exist would return a Python stack trace error. In VectorCAST version 2024 SP4, any unmatched requirement IDs get an 'Unknown' requirement identifier added to allow the lists of requirements to work as before. the rows with a T or F Result, thus further filtering what was originally selected in the ""Coverable Section."" Multi-selecting of rows and columns in various widgets is supported.",KNOWN_PROBLEM_BY_VENDOR,No Risk. This is a usability enhancement that provides a cleaner report for an easily detectable error.,No Risk
software_developer,,Output file created in wrong location if directory exists with same name asthe output filename,100935,"Previously, when using an MSVC compiler in a Cover environment with the vcwrap workflow, if the compile command specified an output file and there existed a directory with the same name as the output file, VectorCAST would create the output file in that directory. This problem has been corrected in VectorCAST version 2024 SP4, where the output file is correctly created in the appropriate directory.",KNOWN_PROBLEM_BY_VENDOR,No Risk. This bug would likely lead to a build failure which is easily detected.,No Risk
software_developer,,DOORS executable path does not show error if path is invalid,100970,"Previously, VectorCAST did not display any error message if the DOORS client executable path was invalid. This problem is fixed in VectorCAST version 2024 SP4. A red outline is shown around the error value and an error pop-up dialog is shown.",KNOWN_PROBLEM_BY_VENDOR,No Risk. This is a usability enhancement that provides clearer feedback for a configuration error.,No Risk
software_developer,,GUI unresponsive after probe point apply is complete,101052,"Previously, the VectorCAST GUI could become unresponsive when working with large source files, particularly those containing a significant number of subprograms, and using the probe point editor. This problem has been resolved in VectorCAST version 2024 SP4.",KNOWN_PROBLEM_BY_VENDOR,No Risk. This is a performance issue that does not affect test correctness.,No Risk
software_developer,,Metrics and Aggregate reports are empty for Cover environments containingAda source files in SFP,101057,"Previously, in C/C++ Cover environments containing Ada source files with the Coverage option ""Source File Perspective"" (SFP) set to True, the Metrics report and Aggregate Coverage report omitted coverage information for the Ada files. This problem has been fixed in VectorCAST version 2024 SP4.",KNOWN_PROBLEM_BY_VENDOR,Potential Risk. This is a silent reporting bug. Missing coverage information for Ada files.,Not Evaluated
software_developer,,Basis Path analysis fails silently when function has very high complexity,101076,"In previous versions of VectorCAST/C++, basis path analysis could silently abort when processing functions with very high complexity. In VectorCAST version 2024 SP4, an error message is displayed indicating the failure and a suggestion on avoiding the problem by increasing the value of the environment variable VCAST_RECURSION_DEPTH.",KNOWN_PROBLEM_BY_VENDOR,Potential Risk. A silent failure means a developer might assume the analysis was successful when it was not.,Not Evaluated
software_developer,,Manage Incremental Rebuild Report displays incorrect totals summary row,101122,"In previous versions of VectorCAST Project, the Manage Incremental Rebuild Report would tally totals incorrectly when the project contained both Cover and C++ unit test environments. This problem has been fixed in VectorCAST version 2024 SP4.",KNOWN_PROBLEM_BY_VENDOR,Potential Risk. Incorrect totals in a report can be misleading and affect the integrity of the audit trail. This is a subtle reporting bug that is not easily detected.,Not Evaluated
software_developer,,Clicast tools execute_commands concatenates arguments from separatelines,101159,"In previous versions of VectorCAST/QA, a 'clicast tools execute_commands' command would fail when the given commands file contained multiple 'cover report' subcommands. This problem is fixed in VectorCAST version 2024 SP4.",KNOWN_PROBLEM_BY_VENDOR,No Risk. This is a command-line bug that would result in an easily detected error.,No Risk
software_developer,,Parse error due to initialization of constexpr value,101246,"Previously, VectorCAST/C++ incorrectly gave the parse error ""expression must have a constant value"" for some initializations of constexpr values. This problem has been resolved in VectorCAST version 2024 SP4.",KNOWN_PROBLEM_BY_VENDOR,No Risk. This is a parse error easily detected.,No Risk
software_developer,,Handle double dependency flags with and without spaces with GNU,101280,"Previously, when using the vcwrap workflow, VectorCAST Cover would incorrectly handle a build command with a dependency option such as -MF when used without a space with the gcc compiler. VectorCAST version 2024 SP4 fixes this issue such that the dependency option is handled correctly when used with or without a space.",KNOWN_PROBLEM_BY_VENDOR,No Risk. This bug would likely lead to an obvious build failure easily detected by a developer.,No Risk
software_developer,,Some C++ examples do not compile with newer C++ standards,101282,"In previous versions of VectorCAST/C++, the STL and Exceptions example environments would not build with the latest C++ standards due to the use of obsolete throw specifications. In VectorCAST version 2024 SP4, the examples have been changed to no longer use throw specifications in function prototypes.",KNOWN_PROBLEM_BY_VENDOR,No Risk. This bug affects example environments which do not impact the correctness of user's test.,No Risk
software_developer,,Set '-ftrack-macro-expansion' macro only for appropriate gnu versions,101301,"Previously, VectorCAST Cover incorrectly added the '-ftrack-macro-expansion=0' macro to the preprocess command for all versions of the gcc compiler, rather than gcc version 4.7 and higher. This problem has been fixed in VectorCAST version 2024 SP4.",KNOWN_PROBLEM_BY_VENDOR,Potential Risk. Using the wrong macro with the compiler could lead to a test harness that behaves differently than the production code which is a silent failure that compromises test integrity.,Not Evaluated
software_developer,,Environment builder crash when using parallel processing and DONT_STUBunit contains template alias,101334,"Previously, when using parallel processing, where VCAST_NUM_JOBS is set to a number greater than 1, VectorCAST/C++ would potentially fail to build environments for C++17 code containing alias templates in DONT_STUB units. This issue has been fixed in VectorCAST version 2024 SP4.",KNOWN_PROBLEM_BY_VENDOR,No Risk. This is a builder crash which is an obvious build blocker.,No Risk
software_developer,,Handle a compiler mismatch due to different path separators in vcwrap,101362,"Previously, vcwrap would not instrument source files if the build command contained a compiler path that differs only in path separators from the compiler path configured in the Cover environment. This problem has been fixed in VectorCAST Cover 2024 SP4 so that the source files are now instrumented correctly.",KNOWN_PROBLEM_BY_VENDOR,No Risk. This bug would prevent instrumentation which would be an obvious build blocker.,No Risk
software_developer,,VectorCAST Project gives no indication of a problem when running a --clicast-args command on an unbuilt environment,101415,"Previously, no error was given when the user entered a '--clicast-args <args>' command on a VectorCAST Project where one or more environments were not built. This problem is fixed in VectorCAST version 2024 SP4, where a message is displayed indicating that any unbuilt environments were unable to be opened.",KNOWN_PROBLEM_BY_VENDOR,No Risk. This is a usability enhancement that provides better feedback for an obvious problem.,No Risk
software_developer,,Instrumentation data failed to load,101441,"In previous versions of VectorCAST/C++, instrumenting a source file which contains a lambda inside a template specialization member function would result in an instrumentation failure.This has been fixed in VectorCAST version 2024 SP4.",KNOWN_PROBLEM_BY_VENDOR,No Risk. This is an instrumentation failure which would be a build blocker.,No Risk
software_developer,,Clicast commands that call clicover require 2 NVLM licenses in Debian-basedsystems,101471,"Previously, VectorCAST manage commands that called clicast or clicast commands which called either clicover or the environment builder incorrectly required two NVLM licenses on Debian-based Linux systems. This problem has been resolved in VectorCAST version 2024 SP4.",KNOWN_PROBLEM_BY_VENDOR,No Risk. This is a licensing issue that does not affect test correctness.,No Risk
software_developer,,Logic Assignment window should allow flexible column widths,101476,"Previously, when using the Variant Logic feature in a C/C++ unit test environment, the Logic Assignment Editor did not permit resizing of the columns. This functionality is now supported in VectorCAST version 2024 SP4.",KNOWN_PROBLEM_BY_VENDOR,No Risk. This is a usability bug.,No Risk
software_developer,,Coded test link failure when environment is configured for STDOUT mode,101502,"In previous versions of VectorCAST/C++, coded test environments with VCAST_NO_STDIN:TRUE would fail to link when executing the harness for range data collection. This problem is fixed in VectorCAST version 2024 SP4.",KNOWN_PROBLEM_BY_VENDOR,No Risk. This is a linker error easily detected.,No Risk
software_developer,,Applying a corrected probe point after a compile error causes crash or blankcoverage viewer,101508,"Previously, VectorCAST/C++ crashed or displayed a blank coverage viewer after the user had applied an ill-formed probe point which caused a compile error, corrected it, and then re- applied the probe point. This problem has been resolved in VectorCAST version 2024 SP4.",KNOWN_PROBLEM_BY_VENDOR,No Risk. This bug causes an obvious crash or blank screen which is easily detected.,No Risk
software_developer,,Metrics report is empty in SFP for UNIT environments without coverageinformation,101529,Previously in Source File Perspective (SFP) VectorCAST the Metrics Report would be empty for Unit environments without instrumentation data. In VectorCAST version 2024 SP4 the report shows source files and subprograms if complexity information is present. This maintains the behavior present for Translation Unit Perspective (TUP).,KNOWN_PROBLEM_BY_VENDOR,No Risk. An empty report would be recognized easily.,No Risk
software_developer,,Parse error in g++ mode when template argument deduction used for aliastemplates,101534,"Previously, VectorCAST/C++ would fail to parse some g++ code that utilized class template argument deduction for alias templates. This problem has been fixed in VectorCAST version 2024 SP4.",KNOWN_PROBLEM_BY_VENDOR,No Risk. This is a parse error easily detected.,No Risk
software_developer,,manage command '--cfg-to-compiler' gives unhelpful error when --levelspecified,101535,"In previous versions of VectorCAST Project, an erroneous error message would be displayed when the --level argument was given along with --cfg-to-compiler. This problem has been resolved in VectorCAST version 2024 SP4.",KNOWN_PROBLEM_BY_VENDOR,No Risk. This is a usability bug with a command-line argument.,No Risk
software_developer,,SFP aggregate report shows incorrect messages for uninstrumented files when VCAST_DISPLAY_EMPTY_COVERAGE = TRUE,101538,"Previously, if using Source File Perspective and the option VCAST_DISPLAY_EMPTY_COVERAGE=TRUE, the Aggregate Coverage Report would display incorrect messages for source files without any instrumentation. This problem has been fixed in VectorCAST version 2024 SP4.",KNOWN_PROBLEM_BY_VENDOR,"No Risk. This is a false positive incorrect message, which when noticed could be inspected.",No Risk
software_developer,,"Full Report incorrectly shows ""No Coverage Results Exist"" in the Overall Results section",101541,"Previously, the Full Report in a VectorCAST/C++ unit test environment incorrectly displayed the text ""No Coverage Results Exist"" instead of ""0 / x (0%)"" when the coverage option ""Source File Perspective"" (VCAST_COVERAGE_SOURCE_FILE_PERSPECTIVE) was set to True. When the option was set to False, meaning Translation Unit Perspective was in use, the Overall Results section was correct. This problem has been corrected in VectorCAST version 2024 SP4.",KNOWN_PROBLEM_BY_VENDOR,No Risk. This is a minor reporting bug which happens only when 0% coverage is present.,No Risk
software_developer,,Ada floating point comparison fails when tolerance extends outside therange of the type,101082,"In previous versions of VectorCAST/Ada, using a floating point tolerance could cause a value comparison to fail if the tolerance range boundary was outside the range of the type and the actual value was near the range boundary of the type. This problem is fixed in VectorCAST version 2024 SP3.",KNOWN_PROBLEM_BY_VENDOR,Potential Risk. This bug could lead to a test result that is a false positive or false negative compromising the integrity of the test. This is a silent and subtle failure.,Risk exists
software_developer,,Macro value used in testcase is incorrect when the value is a cast to a float,89009,"Previously, VectorCAST/C++ used incorrect macro values in testcases when the macro value in the source code was cast to a float, such as '#define IntCastToFloat (float)3'. This problem has been resolved in VectorCAST version 2024 SP2.",KNOWN_PROBLEM_BY_VENDOR,Potential Risk. This is a critical bug that directly compromises test integrity. An incorrect value can lead to a false positive or negative which is a silent failure that is extremely dangerous for a safety-critical system.,Risk exists
software_developer,,Test data is lost when shared between environments with differentaccessibility of test case parameters,100771,"Previously, in a VectorCAST Project containing two environments with accessible or inaccessible portions of source code depending on their symbolic constant configurations, test script data that was held in the Unnapplied Test Data node was not correctly re-applied when the environment where that data was accessible was opened, causing test data loss. This problem has been resolved in VectorCAST version 2024 SP2.",KNOWN_PROBLEM_BY_VENDOR,Potential Risk. This is a critical bug that causes test data loss. This is a severe integrity issue that is not a simple build failure and could compromise the entire test suite.,Risk exists
software_developer,,Automatic refresh of Variants Logics file does not work when specified withrelative path,100841,"Previously, the Variants Logics file was not refreshed after being modified outside of a VectorCAST/C++ unit test environment if it had been specified with a relative path, causing test case status to be out of date. Since the Variant Logics file should be automatically refreshed prior to test case execution but wasn't, the wrong test cases were executed. This problem has been resolved in VectorCAST version 2024 SP2.",KNOWN_PROBLEM_BY_VENDOR,Potential Risk. This is a silent failure. The tool could execute the wrong set of tests without a clear error compromising the integrity of the test run.,Risk exists
software_developer,,Test's string value that is the same as a macro gets replaced with the macrovalue during test execution,100987,"In previous versions of VectorCAST/C++, test cases with string values saved as literal values which matched macro names would incorrectly have the literal value replaced with the macro value at test execution time. This problem has been resolved in VectorCAST version 2024 SP2.",KNOWN_PROBLEM_BY_VENDOR,High Risk. This is a critical bug that compromises test integrity. An incorrect value can lead to a false positive or negative which is a silent failure.,Risk exists
software_developer,,FLT_EPSILON can conflict with system/compiler definition,101187,"Previously, when Coded Tests support (VCAST_CODED_TESTS_SUPPORT) was enabled, the vUnit framework would provide a conflicting definition for FLT_EPSILON for systems with that constant defined. In VectorCAST/C++ version 2024 SP2, the vUnit framework only provides a definition for FLT_EPSILON when an existing definition does not exist.",KNOWN_PROBLEM_BY_VENDOR,Potential Risk. A conflicting definition can cause the test harness to behave differently than the production code which is a silent failure that compromises test integrity.,Risk exists
software_developer,,Distinct globals lost when usingVCAST_ONLY_SHOW_GLOBAL_OBJECTS_IN_ONE_UNIT,VC-20,"In previous versions of VectorCAST/C++, a static variable appearing in multiple units would incorrectly be treated as a single global variable when the Builder option ""Only Show Global Objects in one unit"" was set to TRUE. In VectorCAST version 2024 SP2, the static variable is treated as unique in each unit in which it appears.",KNOWN_PROBLEM_BY_VENDOR,Potential Risk. This bug could lead to incorrect test results if multiple tests are trying to access what they believe are distinct static variables but are actually modifying the same one. This is a silent and subtle failure that compromises test integrity.,Risk exists
software_developer,,Template class array member incorrectly sized in Parameter Tree,VC-21,"In versions of VectorCAST/C++ since VectorCAST 2023 SP5, array members of template-based types could be treated as the wrong size if the array size was dependent on a template parameter. This problem is fixed in VectorCAST version 2024 SP2.",KNOWN_PROBLEM_BY_VENDOR,Potential Risk. An incorrectly sized array can lead to buffer overflows or other undefined behavior during test execution which could result in a test passing when it should have failed. This is a silent failure.,Risk exists
